Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,200,2,0.001,Fair_Attention_MP_GCN,0.015534281730651855,0.005343079566955566,0.7407407407407407
False,16,200,2,0.01,GAT,0.019702017307281494,0.008695662021636963,0.7407407407407407
False,16,200,2,0.01,Fair_Attention_MP_GCN,0.009914100170135498,0.005343079566955566,0.7283950617283951
False,16,200,2,0.1,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,200,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.25925925925925924
False,16,200,4,0.001,GAT,0.007767200469970703,0.004347801208496094,0.7530864197530864
False,16,200,4,0.001,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,200,4,0.01,GAT,0.007767200469970703,0.004347801208496094,0.7530864197530864
False,16,200,4,0.01,Fair_Attention_MP_GCN,0.00337827205657959,0.0,0.7407407407407407
False,16,200,4,0.1,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,200,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.25925925925925924
False,16,500,2,0.001,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,500,2,0.001,Fair_Attention_MP_GCN,0.0067566633224487305,0.004347801208496094,0.7283950617283951
False,16,500,2,0.01,GAT,0.02860569953918457,0.01739126443862915,0.7283950617283951
False,16,500,2,0.01,Fair_Attention_MP_GCN,0.0,0.0,0.25925925925925924
False,16,500,2,0.1,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,500,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.25925925925925924
False,16,500,4,0.001,GAT,0.016323626041412354,0.013043463230133057,0.7407407407407407
False,16,500,4,0.001,Fair_Attention_MP_GCN,0.007767200469970703,0.003352522850036621,0.7160493827160493
False,16,500,4,0.01,GAT,0.03422588109970093,0.011052906513214111,0.7037037037037037
False,16,500,4,0.01,Fair_Attention_MP_GCN,0.0,0.0,0.25925925925925924
False,16,500,4,0.1,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,500,4,0.1,Fair_Attention_MP_GCN,0.019133687019348145,0.01676267385482788,0.7407407407407407
False,32,50,2,0.001,GAT,0.01092439889907837,0.013043463230133057,0.7160493827160493
False,32,50,2,0.001,Fair_Attention_MP_GCN,0.0067566633224487305,0.004347801208496094,0.7283950617283951
False,32,50,2,0.01,GAT,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,32,50,2,0.01,Fair_Attention_MP_GCN,0.020491302013397217,0.013043463230133057,0.7160493827160493
False,32,50,2,0.1,GAT,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,32,50,2,0.1,Fair_Attention_MP_GCN,0.024880051612854004,0.0023572444915771484,0.7160493827160493
False,32,50,4,0.001,GAT,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,32,50,4,0.001,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
