Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,32,100,2,0.01,GCN,0.004167675971984863,0.008695662021636963,0.7160493827160493
False,32,100,2,0.01,FairMP_GCN,0.3670750856399536,0.35709792375564575,0.7160493827160493
False,32,100,2,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,100,2,0.1,FairMP_GCN,0.01035618782043457,0.00770038366317749,0.7530864197530864
False,32,100,4,0.001,GCN,0.00337827205657959,0.0,0.7407407407407407
False,32,100,4,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,100,4,0.01,GCN,0.00337827205657959,0.0,0.7407407407407407
False,32,100,4,0.01,FairMP_GCN,0.3177570104598999,0.3132529854774475,0.7160493827160493
False,32,100,4,0.1,GCN,0.005967497825622559,0.012048184871673584,0.7407407407407407
False,32,100,4,0.1,FairMP_GCN,0.5514018535614014,0.5542168617248535,0.7037037037037037
False,32,200,2,0.001,GCN,0.020270168781280518,0.013043463230133057,0.7283950617283951
False,32,200,2,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,200,2,0.01,GCN,0.0017997026443481445,0.008695662021636963,0.7283950617283951
False,32,200,2,0.01,FairMP_GCN,0.7476635575294495,0.7469879388809204,0.6419753086419753
False,32,200,2,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,200,2,0.1,FairMP_GCN,0.07994449138641357,0.048192739486694336,0.7407407407407407
False,32,200,4,0.001,GCN,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,32,200,4,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,200,4,0.01,GCN,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,32,200,4,0.01,FairMP_GCN,0.4579439163208008,0.4698794484138489,0.7037037037037037
False,32,200,4,0.1,GCN,0.005178093910217285,0.015400707721710205,0.7283950617283951
False,32,200,4,0.1,FairMP_GCN,0.05607479810714722,0.012048184871673584,0.7407407407407407
False,32,500,2,0.001,GCN,0.0017997026443481445,0.008695662021636963,0.7283950617283951
False,32,500,2,0.001,FairMP_GCN,0.14198660850524902,0.1281822919845581,0.7407407407407407
False,32,500,2,0.01,GCN,0.023080408573150635,0.003352522850036621,0.7283950617283951
False,32,500,2,0.01,FairMP_GCN,0.03005814552307129,0.0057097673416137695,0.7283950617283951
False,32,500,2,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,500,2,0.1,FairMP_GCN,0.001231372356414795,0.01403874158859253,0.7654320987654321
False,32,500,4,0.001,GCN,0.013513445854187012,0.004347801208496094,0.7407407407407407
False,32,500,4,0.001,FairMP_GCN,0.07138806581497192,0.055893123149871826,0.7407407407407407
False,32,500,4,0.01,GCN,0.01092439889907837,0.008695662021636963,0.7283950617283951
False,32,500,4,0.01,FairMP_GCN,0.023869693279266357,0.0,0.7530864197530864
False,32,500,4,0.1,GCN,0.0007892847061157227,0.003352522850036621,0.7160493827160493
False,32,500,4,0.1,FairMP_GCN,0.2429906725883484,0.22891563177108765,0.7407407407407407
False,64,50,2,0.001,GCN,0.004167675971984863,0.008695662021636963,0.7283950617283951
False,64,50,2,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
